id,lat,lon,ph,sand,clay,silt,cec,humus,stickstoff
A20901_4184,52.2525,10.46,5.2,38.4,24.4,37.2,30.7,71.3,6.71
A20955_4138,52.3875,10.345,5.4,57.8,13.2,29.0,27.4,70.9,6.07
A20942_4232,52.355,10.58,5.3,46.6,20.1,33.3,30.1,76.3,7.23
A20902_4239,52.255,10.5975,5.1,40.0,25.5,34.5,31.0,84.8,7.11
A20848_4129,52.12,10.3225,5.2,21.8,29.2,49.0,27.4,79.2,5.62
A20910_4232,52.275,10.58,5.6,37.5,27.3,35.1,30.6,81.6,6.91
A20927_4180,52.3175,10.45,5.9,50.7,21.4,27.9,29.5,62.0,7.09
A20972_4109,52.43,10.2725,6.0,51.9,20.8,27.3,24.2,59.8,6.32
A20849_4114,52.1225,10.285,5.2,21.6,29.1,49.3,27.2,74.5,5.82
A20937_4285,52.3425,10.7125,5.0,53.1,15.5,31.4,29.4,74.6,6.98
A21001_4066,52.5025,10.165,5.6,61.7,15.8,22.5,26.0,66.3,5.58
A20914_4202,52.285,10.505,5.3,41.0,27.3,31.7,28.5,86.4,7.13
A20907_4241,52.2675,10.6025,5.1,37.6,22.5,39.9,32.3,67.0,7.21
A20939_4161,52.3475,10.4025,6.3,52.5,19.0,28.5,30.5,50.6,5.94
A20907_4225,52.2675,10.5625,5.8,36.9,23.7,39.4,31.3,68.2,6.98
A20900_4184,52.25,10.46,5.3,36.8,23.7,39.5,30.3,77.0,6.74
A20903_4184,52.2575,10.46,6.2,40.4,23.2,36.4,32.0,58.2,6.4
A20848_4116,52.12,10.29,5.3,23.5,34.8,41.7,27.8,61.9,5.69
A20916_4200,52.29,10.5,5.7,41.9,26.2,31.9,30.1,64.3,6.56
A21052_4393,52.63,10.9825,6.0,63.2,12.6,24.2,27.8,58.0,6.51
A21042_4237,52.605,10.5925,6.1,67.8,12.8,19.5,26.9,57.4,6.44
A20841_4075,52.1025,10.1875,6.0,18.4,29.2,52.4,25.6,49.4,5.89
A21053_4393,52.6325,10.9825,4.7,63.6,13.9,22.5,28.3,83.1,7.52
A20859_4322,52.1475,10.805,5.9,39.3,25.5,35.2,31.5,61.4,6.1
A20853_4138,52.1325,10.345,5.9,20.3,28.5,51.3,29.0,58.9,5.93
A20999_4067,52.4975,10.1675,6.0,63.2,15.3,21.5,25.6,58.9,5.66
A21009_4236,52.5225,10.59,6.0,61.4,16.2,22.4,27.8,55.9,6.9
A20858_4318,52.145,10.795,6.4,32.9,28.2,38.9,29.5,55.8,6.15
A20907_4159,52.2675,10.3975,6.2,33.7,25.1,41.2,31.7,54.8,6.43
A20921_4327,52.3025,10.8175,5.7,49.4,20.7,29.9,30.3,59.6,8.04
A20848_4119,52.12,10.2975,5.3,22.6,31.1,46.3,27.7,64.7,5.72
A20983_4171,52.4575,10.4275,5.4,66.3,14.9,18.9,26.7,67.5,6.19
A21051_4393,52.6275,10.9825,5.2,62.6,13.1,24.3,27.8,62.7,6.67
A21012_4092,52.53,10.23,5.3,66.9,13.9,19.2,25.5,79.0,6.13
A20996_4077,52.49,10.1925,6.3,65.2,14.7,20.1,26.2,64.4,5.62
A20903_4188,52.2575,10.47,5.7,40.4,24.7,35.0,30.6,65.1,6.61
A20908_4192,52.27,10.48,6.4,42.8,23.2,34.0,28.7,54.0,5.39
A20904_4187,52.26,10.4675,5.9,40.1,24.0,35.8,31.6,59.9,6.78
A20996_4223,52.49,10.5575,5.4,63.7,13.0,23.4,27.9,74.3,6.28
A20911_4239,52.2775,10.5975,5.3,38.4,21.2,40.4,29.9,74.9,6.57
A20907_4239,52.2675,10.5975,5.2,37.1,24.8,38.1,31.8,70.1,7.06
A20844_4123,52.11,10.3075,5.3,17.6,32.1,50.4,27.0,70.5,5.1
A20849_4111,52.1225,10.2775,5.2,18.8,26.1,55.1,27.5,82.4,6.16
A20993_4197,52.4825,10.4925,5.1,58.6,15.9,25.5,27.3,67.2,4.8
A20930_4173,52.325,10.4325,6.0,56.4,19.4,24.2,30.3,67.8,7.04
A20996_4224,52.49,10.56,5.0,63.9,12.7,23.4,27.2,80.9,6.33
A20949_4127,52.3725,10.3175,6.4,53.6,12.7,33.8,27.2,52.6,5.48
A20905_4234,52.2625,10.585,5.3,39.4,26.1,34.6,30.5,87.7,8.59
A20850_4111,52.125,10.2775,5.2,18.4,26.0,55.6,27.9,81.4,5.97
A21081_4174,52.7025,10.435,5.0,60.1,10.3,29.7,29.6,89.2,5.39
A20945_4126,52.3625,10.315,5.4,52.6,18.7,28.7,27.2,69.6,5.89
A20913_4189,52.2825,10.4725,5.2,45.9,20.2,33.9,32.1,81.1,5.74
A20906_4238,52.265,10.595,5.1,42.2,22.3,35.5,31.0,78.8,6.91
A20941_4194,52.3525,10.485,6.2,50.5,20.6,28.9,28.4,53.7,5.99
A20928_4177,52.32,10.4425,6.0,51.4,20.9,27.7,28.9,61.7,7.06
A20923_4229,52.3075,10.5725,5.3,38.7,27.7,33.6,32.0,59.8,6.09
A21018_4251,52.545,10.6275,5.2,61.2,13.3,25.6,28.5,71.0,7.27
A21033_4073,52.5825,10.1825,5.3,67.7,16.9,15.5,26.0,63.3,5.09
A21011_4040,52.5275,10.1,5.1,58.9,15.4,25.7,26.1,64.8,6.48
A21039_4225,52.5975,10.5625,5.3,65.1,12.9,22.0,29.1,77.5,7.88
A20860_4201,52.15,10.5025,5.2,24.0,28.4,47.5,30.3,79.5,6.14
A20839_4051,52.0975,10.1275,5.5,17.1,23.9,59.0,28.6,53.0,5.98
A20862_4202,52.155,10.505,5.8,23.5,28.6,47.9,31.3,61.1,6.44
A20890_4221,52.225,10.5525,6.2,35.3,25.2,39.5,28.7,53.5,8.31
A20975_4362,52.4375,10.905,5.0,56.3,17.5,26.3,30.3,87.2,8.94
A20924_4245,52.31,10.6125,6.3,43.2,20.5,36.2,31.1,55.7,7.5
A20844_4125,52.11,10.3125,5.3,17.3,33.7,49.0,28.5,79.3,5.37
A21135_4135,52.8375,10.3375,5.2,49.7,18.4,32.0,25.6,86.4,5.0
A21129_4118,52.8225,10.295,4.8,56.1,18.8,25.1,25.2,90.8,4.97
A20934_4290,52.335,10.725,4.9,53.2,17.8,28.9,28.3,79.8,7.13
A20937_4284,52.3425,10.71,5.0,55.1,15.5,29.5,29.7,78.8,7.07
A20912_4304,52.28,10.76,5.2,37.6,19.9,42.4,31.0,81.3,7.18
A21134_4131,52.835,10.3275,5.2,48.2,21.1,30.7,25.4,95.9,5.27
A20977_4182,52.4425,10.455,5.2,65.7,14.3,20.0,26.9,69.1,7.29
A20911_4184,52.2775,10.46,5.2,45.4,20.4,34.2,31.6,69.8,6.3
A21023_4378,52.5575,10.945,6.0,63.8,10.5,25.7,29.1,71.3,9.69
A20824_4206,52.06,10.515,5.6,24.8,27.9,47.3,30.4,61.7,8.2
A20929_4283,52.3225,10.7075,5.2,52.1,16.2,31.7,30.3,72.8,7.41
A20945_4133,52.3625,10.3325,5.2,50.7,18.8,30.4,27.4,76.2,5.94
A20904_4118,52.26,10.295,5.0,31.1,21.0,47.9,29.9,68.1,5.93
A20914_4253,52.285,10.6325,5.1,41.8,21.6,36.6,31.1,77.5,8.06
A20936_4283,52.34,10.7075,5.0,54.1,16.3,29.6,29.3,63.1,7.56
A20946_4134,52.365,10.335,5.3,49.4,15.4,35.2,28.9,74.7,6.34
A20952_4300,52.38,10.75,4.9,49.9,16.0,34.1,29.2,66.9,6.54
A20952_4297,52.38,10.7425,4.9,53.8,11.6,34.6,28.0,74.9,6.93
A20940_4041,52.35,10.1025,5.3,41.7,21.4,37.0,28.6,71.6,6.31
A20954_4308,52.385,10.77,4.9,50.1,14.3,35.6,27.9,71.9,6.67
A20935_4283,52.3375,10.7075,5.0,54.3,16.7,29.0,29.5,71.1,6.59
A20909_4237,52.2725,10.5925,5.0,36.8,24.8,38.4,31.5,78.0,6.75
A20903_4181,52.2575,10.4525,6.3,33.5,23.6,42.8,32.0,56.3,6.24
A20918_4266,52.295,10.665,5.3,47.5,20.2,32.3,30.9,76.2,8.0
A20913_4195,52.2825,10.4875,5.9,38.9,24.0,37.1,30.1,65.7,6.1
A20913_4302,52.2825,10.755,5.2,40.4,19.8,39.9,30.8,73.9,7.16
A20910_4231,52.275,10.5775,5.6,37.5,27.3,35.1,30.6,81.6,6.91
A20980_4285,52.45,10.7125,4.8,56.5,15.5,28.1,30.1,77.4,6.58
A20887_4087,52.2175,10.2175,6.1,15.3,23.2,61.5,29.8,49.7,5.52
A21029_4263,52.5725,10.6575,5.4,59.7,12.1,28.2,27.1,63.2,6.48
A20841_4053,52.1025,10.1325,5.5,17.7,24.1,58.2,30.1,64.0,5.63
A20978_4176,52.445,10.44,5.2,66.4,12.8,20.8,26.9,62.1,4.63
A20916_4235,52.29,10.5875,5.7,43.2,19.6,37.1,28.2,56.7,6.42
A20914_4255,52.285,10.6375,5.3,41.3,22.3,36.4,31.2,82.0,7.89
A20915_4305,52.2875,10.7625,6.1,33.4,23.4,43.2,30.0,60.9,6.15
A20914_4248,52.285,10.62,5.1,43.9,20.8,35.4,31.8,80.5,8.77
A20945_4167,52.3625,10.4175,5.1,60.1,15.7,24.2,28.6,58.9,5.74
A20910_4230,52.275,10.575,5.5,37.8,26.9,35.3,30.8,103.1,7.25
A20914_4254,52.285,10.635,5.1,41.8,21.6,36.6,31.1,77.5,8.06
A20904_4117,52.26,10.2925,5.0,31.3,20.8,47.9,29.1,70.5,6.15
A20947_4168,52.3675,10.42,5.2,61.1,13.1,25.8,27.7,65.3,5.48
A20953_4097,52.3825,10.2425,5.6,54.8,17.9,27.3,27.0,64.3,5.99
A20947_4169,52.3675,10.4225,5.1,60.6,15.0,24.4,27.8,66.1,5.54
A20948_4126,52.37,10.315,5.3,50.1,13.9,36.0,27.1,74.5,6.16
A20937_4288,52.3425,10.72,5.0,54.6,17.0,28.4,30.2,70.7,6.59
A20831_4216,52.0775,10.54,5.2,23.3,27.9,48.9,28.9,62.3,6.94
A20915_4200,52.2875,10.5,5.4,42.1,28.3,29.6,29.6,64.9,6.65
A20980_4183,52.45,10.4575,4.7,64.1,14.4,21.5,28.5,83.2,5.63
A20950_4298,52.375,10.745,5.0,52.5,13.7,33.9,29.7,71.5,6.32
A20915_4249,52.2875,10.6225,5.1,47.3,20.2,32.5,32.4,83.4,8.14
A20849_4056,52.1225,10.14,5.0,21.6,27.2,51.2,29.7,75.7,5.7
A20915_4255,52.2875,10.6375,5.6,41.0,21.7,37.3,31.7,65.7,8.51
A20941_4193,52.3525,10.4825,5.2,49.4,20.8,29.8,29.6,72.5,6.34
A20935_4286,52.3375,10.715,4.9,54.6,16.2,29.2,28.5,65.3,6.25
A20946_4166,52.365,10.415,6.0,59.4,13.5,27.0,29.0,54.0,6.18
A20912_4301,52.28,10.7525,5.2,39.6,19.9,40.5,31.0,74.0,7.23
A20936_4286,52.34,10.715,4.9,50.2,15.3,34.6,29.8,75.2,7.05
A20949_4283,52.3725,10.7075,5.0,49.3,17.5,33.1,28.4,92.4,6.76
A20846_4058,52.115,10.145,5.3,17.4,27.6,55.0,28.5,76.6,6.14
A20919_4143,52.2975,10.3575,5.1,34.0,21.5,44.5,29.5,75.7,6.03
A20950_4173,52.375,10.4325,5.6,55.2,14.2,30.6,27.3,47.6,5.22
A20875_4218,52.1875,10.545,5.1,34.5,23.8,41.7,30.0,63.3,8.01
A20894_4325,52.235,10.8125,5.1,23.8,26.6,49.6,28.4,84.0,6.22
A20920_4142,52.3,10.355,5.1,36.1,20.5,43.3,29.5,75.8,5.82
A20954_4290,52.385,10.725,5.1,50.9,14.2,34.9,29.6,79.9,7.84
A20950_4172,52.375,10.43,5.0,56.3,17.2,26.5,27.2,67.5,5.65
A20920_4138,52.3,10.345,5.2,38.5,21.5,40.0,31.1,75.2,6.09
A20834_4346,52.085,10.865,6.7,32.8,21.4,45.8,29.6,74.7,7.16
A20961_4317,52.4025,10.7925,5.1,50.5,18.1,31.4,30.4,65.2,6.13
A20924_4224,52.31,10.56,5.2,43.4,24.5,32.1,30.1,80.0,6.82
A20907_4237,52.2675,10.5925,5.1,37.5,26.4,36.1,31.9,72.6,7.16
A20865_4339,52.1625,10.8475,5.0,23.2,30.2,46.6,27.9,73.6,5.23
A20931_4233,52.3275,10.5825,5.2,39.6,21.5,38.9,31.2,70.9,6.34
A20979_4182,52.4475,10.455,4.8,64.6,14.4,21.0,27.8,95.0,5.83
A20979_4183,52.4475,10.4575,4.8,64.6,14.4,21.0,27.8,95.0,5.83
A20979_4185,52.4475,10.4625,4.7,62.6,13.4,24.1,28.8,65.9,5.64
A20885_4305,52.2125,10.7625,5.3,25.2,28.6,46.2,29.4,77.9,5.89
A20994_4206,52.485,10.515,5.7,68.6,11.7,19.7,28.0,68.1,5.97
A20907_4238,52.2675,10.595,5.2,38.4,24.9,36.8,32.0,75.2,7.1
A21065_4396,52.6625,10.99,4.7,56.1,13.1,30.8,28.4,76.2,7.02
A20949_4316,52.3725,10.79,4.9,52.1,16.4,31.5,31.0,70.9,6.01
A20953_4301,52.3825,10.7525,5.1,47.4,16.5,36.1,28.6,70.9,6.52
A20912_4320,52.28,10.8,5.7,51.1,18.8,30.1,30.5,80.4,8.14
A20865_4151,52.1625,10.3775,5.3,20.2,28.7,51.1,30.9,76.6,6.02
A20865_4150,52.1625,10.375,5.3,20.2,28.7,51.1,30.9,76.6,6.02
A20906_4232,52.265,10.58,6.1,38.2,26.1,35.8,31.5,66.2,7.64
A20911_4183,52.2775,10.4575,5.5,43.4,21.1,35.5,30.4,69.7,6.3
A20961_4162,52.4025,10.405,5.3,56.8,16.4,26.8,28.3,74.4,7.43
A20911_4180,52.2775,10.45,6.5,41.0,22.2,36.8,31.6,54.2,7.32
A20960_4162,52.4,10.405,5.3,56.6,15.0,28.4,27.5,66.1,6.49
A20852_4138,52.13,10.345,6.0,19.6,28.7,51.7,29.7,52.0,6.49
A20948_4131,52.37,10.3275,5.1,52.0,14.1,33.9,28.4,76.3,5.75
A21054_4420,52.635,11.05,4.8,58.4,12.5,29.1,28.5,73.2,6.76
A20895_4259,52.2375,10.6475,5.1,36.7,22.5,40.8,31.4,87.2,7.3
A21126_4387,52.815,10.9675,5.8,58.3,15.6,26.2,29.4,73.4,8.63
A20950_4165,52.375,10.4125,6.2,58.6,17.0,24.4,27.6,53.5,5.35
A20993_4201,52.4825,10.5025,5.1,60.0,15.4,24.7,27.9,69.7,4.6
A20845_4147,52.1125,10.3675,6.2,16.0,27.2,56.8,27.7,51.6,5.92
A20974_4267,52.435,10.6675,5.5,58.3,17.3,24.4,28.1,60.0,6.99
A20853_4174,52.1325,10.435,6.2,24.4,30.8,44.9,30.0,64.0,6.64
A20910_4185,52.275,10.4625,5.3,41.5,20.2,38.3,31.6,79.7,6.75
A20937_4283,52.3425,10.7075,5.0,54.1,15.2,30.7,30.1,70.5,7.06
A20981_4180,52.4525,10.45,4.7,63.1,13.6,23.3,26.2,67.4,5.26
A20915_4176,52.2875,10.44,5.4,41.3,24.0,34.7,31.2,70.2,6.13
A21014_4048,52.535,10.12,5.3,62.7,16.2,21.1,26.6,77.7,5.94
A20839_4130,52.0975,10.325,5.3,19.9,29.4,50.7,28.0,62.8,6.09
A20906_4197,52.265,10.4925,6.2,38.9,26.3,34.8,30.6,55.1,6.42
A20908_4227,52.27,10.5675,5.9,36.9,24.5,38.6,30.5,70.7,6.6
A21007_4376,52.5175,10.94,4.8,58.4,15.3,26.3,29.3,78.3,7.04
A20964_4081,52.41,10.2025,5.6,60.4,14.6,25.0,25.6,60.7,6.22
A20878_4317,52.195,10.7925,5.0,20.4,29.4,50.2,26.7,71.4,5.71
A20907_4243,52.2675,10.6075,5.4,37.0,23.0,40.1,30.7,66.2,7.41
A20941_4232,52.3525,10.58,5.2,47.6,19.0,33.4,30.0,72.5,6.86
A20888_4304,52.22,10.76,5.2,23.6,30.6,45.9,27.8,69.9,5.73
A20968_4226,52.42,10.565,5.0,62.9,12.1,25.0,28.6,85.3,6.82
A20893_4321,52.2325,10.8025,5.0,29.0,28.6,42.4,28.0,69.1,6.63
A20898_4130,52.245,10.325,5.7,22.4,25.8,51.8,30.6,53.3,6.05
A20842_4124,52.105,10.31,5.3,17.2,35.1,47.8,27.8,94.6,6.17
A20912_4205,52.28,10.5125,5.7,39.1,28.9,32.1,27.0,74.3,7.68
A20886_4307,52.215,10.7675,5.2,24.7,29.0,46.3,28.9,77.5,5.89
A20977_4161,52.4425,10.4025,5.1,64.6,11.8,23.6,26.5,63.8,5.57
A20839_4090,52.0975,10.225,6.8,18.4,27.2,54.5,26.1,46.8,4.99
A20915_4308,52.2875,10.77,5.2,35.1,24.0,40.9,30.6,85.9,5.89
A20858_4257,52.145,10.6425,5.2,26.9,28.8,44.3,28.5,78.3,5.54
A21062_4087,52.655,10.2175,5.1,68.3,10.9,20.8,28.4,93.8,4.91
A20892_4205,52.23,10.5125,5.7,37.2,24.9,37.9,29.6,67.2,9.36
A20950_4329,52.375,10.8225,5.0,45.4,16.7,37.9,31.1,85.8,6.75
A20907_4220,52.2675,10.55,5.6,34.4,26.0,39.5,27.8,80.3,6.44
A20889_4238,52.2225,10.595,6.4,32.0,21.9,46.2,32.7,55.4,8.33
A20982_4099,52.455,10.2475,5.6,64.1,15.3,20.6,27.2,71.2,5.57
A20908_4233,52.27,10.5825,5.2,37.7,28.7,33.6,31.0,73.9,7.66
A20895_4425,52.2375,11.0625,4.9,34.3,23.1,42.6,32.4,76.5,6.67
A20821_4040,52.0525,10.1,5.3,18.9,28.5,52.6,27.9,68.2,5.69
A20841_4064,52.1025,10.16,5.7,15.8,25.2,59.0,28.3,55.6,5.85
A20880_4319,52.2,10.7975,5.0,21.1,29.5,49.5,27.0,66.9,5.48
A20906_4160,52.265,10.4,5.8,36.6,23.9,39.4,31.0,57.0,6.61
A20892_4077,52.23,10.1925,6.8,25.5,23.3,51.2,28.4,48.6,5.77
A20917_4310,52.2925,10.775,5.1,34.3,23.1,42.6,30.0,77.8,6.1
A20906_4243,52.265,10.6075,6.2,39.7,22.8,37.4,31.3,53.6,6.86
A20863_4122,52.1575,10.305,5.9,21.5,32.3,46.2,30.6,66.5,6.77
A20937_4176,52.3425,10.44,6.2,47.6,19.1,33.3,33.2,78.8,6.59
A20848_4134,52.12,10.335,5.1,23.2,30.7,46.1,27.5,68.3,6.22
A20884_4327,52.21,10.8175,5.1,22.8,24.8,52.4,26.7,66.5,6.27
A20922_4266,52.305,10.665,5.4,47.5,19.5,33.1,32.6,70.7,7.57
A20951_4327,52.3775,10.8175,5.0,46.6,16.0,37.3,30.3,71.0,6.79
A20858_4260,52.145,10.65,5.3,21.1,27.8,51.1,28.6,97.2,5.92
A20883_4439,52.2075,11.0975,5.0,31.4,16.7,51.9,31.5,68.2,6.5
A20883_4440,52.2075,11.1,5.0,31.4,16.7,51.9,31.5,68.2,6.5
A20954_4286,52.385,10.715,5.0,50.1,15.0,35.0,30.6,79.4,6.75
A21057_4092,52.6425,10.23,6.0,65.9,14.1,20.0,27.8,68.2,6.18
A20886_4308,52.215,10.77,5.2,23.4,28.6,47.9,29.5,72.0,5.88
A20893_4154,52.2325,10.385,6.5,30.8,23.8,45.4,31.1,52.7,5.41
A20883_4327,52.2075,10.8175,5.4,20.5,24.2,55.3,26.5,57.0,5.99
A20886_4170,52.215,10.425,6.4,36.4,22.4,41.2,30.1,48.8,6.29
A20917_4213,52.2925,10.5325,5.3,45.2,23.2,31.5,30.4,88.0,7.76
A20970_4090,52.425,10.225,5.3,62.2,16.3,21.5,24.8,80.4,7.2
A20925_4236,52.3125,10.59,5.1,43.3,22.1,34.7,31.2,65.8,6.24
A20859_4379,52.1475,10.9475,6.2,23.7,25.1,51.2,30.9,63.0,6.92
A21013_4298,52.5325,10.745,4.6,62.6,12.1,25.2,26.6,75.2,6.63
A20859_4376,52.1475,10.94,6.4,19.4,29.2,51.4,28.4,50.3,5.23
A20976_4145,52.44,10.3625,5.6,67.2,12.3,20.5,28.0,66.4,5.81
A20852_4040,52.13,10.1,5.3,19.5,31.9,48.5,28.4,79.4,6.01
A20925_4178,52.3125,10.445,6.1,49.0,21.0,30.0,28.9,52.5,6.11
A20884_4229,52.21,10.5725,5.6,33.6,23.0,43.3,32.6,78.9,7.86
A20915_4284,52.2875,10.71,6.3,42.5,23.3,34.2,31.7,46.0,8.03
A20844_4124,52.11,10.31,5.4,18.1,32.6,49.3,28.2,77.3,5.24
A20927_4187,52.3175,10.4675,6.2,47.8,25.4,26.8,29.6,60.9,6.67
A20835_4048,52.0875,10.12,5.4,18.9,27.9,53.3,30.3,67.4,5.45
A20853_4054,52.1325,10.135,5.2,21.2,27.4,51.5,29.6,66.7,5.68
A20919_4332,52.2975,10.83,5.8,50.7,20.0,29.4,30.2,61.7,8.15
A20929_4169,52.3225,10.4225,5.6,52.1,19.6,28.3,30.8,59.7,5.97
A20899_4208,52.2475,10.52,5.9,37.0,25.4,37.6,28.6,62.1,9.01
A20926_4233,52.315,10.5825,5.4,39.9,24.8,35.3,31.8,75.7,6.75
A20870_4357,52.175,10.8925,5.0,18.8,26.0,55.2,28.7,83.5,7.15
A20982_4187,52.455,10.4675,4.9,63.9,12.4,23.7,28.0,71.2,5.72
A20834_4150,52.085,10.375,5.2,24.8,28.1,47.1,26.8,66.4,6.24
A20924_4185,52.31,10.4625,5.8,50.1,18.8,31.0,29.5,58.8,6.14
A20968_4374,52.42,10.935,4.8,53.8,17.2,28.9,31.3,76.3,7.97
A21029_4280,52.5725,10.7,4.8,61.1,12.8,26.2,27.1,70.9,6.67
A20973_4110,52.4325,10.275,5.5,52.1,20.8,27.1,24.5,59.3,5.71
A20922_4262,52.305,10.655,5.2,47.1,18.5,34.4,31.7,71.4,8.25
A20848_4111,52.12,10.2775,5.2,22.7,29.2,48.0,26.7,73.0,5.86
A20910_4246,52.275,10.615,6.5,39.2,20.3,40.4,29.0,51.5,6.43
A20876_4285,52.19,10.7125,6.7,22.9,25.1,52.0,29.4,46.1,5.26
A20979_4186,52.4475,10.465,4.7,62.3,14.1,23.5,28.1,72.7,5.87
A20909_4238,52.2725,10.595,5.0,36.4,25.3,38.3,32.0,81.3,7.87
A20952_4114,52.38,10.285,5.5,54.7,14.5,30.8,26.4,85.6,7.62
A20851_4062,52.1275,10.155,5.2,19.5,27.6,52.9,29.9,82.7,5.76
A20850_4063,52.125,10.1575,5.1,19.3,28.2,52.5,30.5,83.9,5.85
A20856_4310,52.14,10.775,6.5,28.3,33.3,38.4,30.5,58.3,6.33
A20893_4207,52.2325,10.5175,6.0,35.6,26.5,37.9,29.3,61.0,9.6
A20965_4324,52.4125,10.81,5.7,50.9,18.3,30.8,30.7,64.0,6.5
A20968_4224,52.42,10.56,4.9,63.2,12.1,24.7,28.3,75.5,6.97
A20954_4183,52.385,10.4575,5.4,47.4,18.1,34.5,27.4,66.9,5.62
A20835_4047,52.0875,10.1175,5.4,20.2,30.7,49.2,31.0,84.2,5.58
A20969_4376,52.4225,10.94,4.9,56.6,16.8,26.6,32.1,78.2,8.4
A20981_4401,52.4525,11.0025,6.3,56.2,18.5,25.3,31.0,56.5,7.04
A20953_4166,52.3825,10.415,5.6,58.4,16.7,24.9,27.1,54.1,5.24
A20898_4257,52.245,10.6425,6.2,39.3,24.7,36.0,31.6,53.2,7.31
A20905_4222,52.2625,10.555,5.2,38.0,25.9,36.1,30.5,80.1,7.44
A20849_4132,52.1225,10.33,5.4,21.0,29.7,49.4,30.0,59.0,5.79
A21135_4103,52.8375,10.2575,5.0,53.8,19.5,26.7,25.6,87.6,5.54
A21135_4106,52.8375,10.265,4.9,45.9,19.7,34.4,25.9,97.4,5.26
A20876_4282,52.19,10.705,6.6,22.8,25.9,51.3,29.1,55.2,5.3
A21139_4113,52.8475,10.2825,4.8,50.8,20.1,29.1,22.5,88.7,5.01
A20905_4223,52.2625,10.5575,5.1,37.5,26.4,36.1,28.8,76.2,7.43
A21136_4107,52.84,10.2675,4.9,44.1,21.6,34.3,25.5,83.4,5.01
A21136_4106,52.84,10.265,4.9,44.1,21.6,34.3,25.5,83.4,5.01
A20910_4224,52.275,10.56,5.4,37.2,24.3,38.5,28.8,86.4,6.32
A20931_4232,52.3275,10.58,5.2,39.6,21.5,38.9,31.2,70.9,6.34
A20850_4059,52.125,10.1475,5.1,20.6,28.9,50.4,30.1,75.9,5.35
A20905_4225,52.2625,10.5625,5.9,38.1,22.6,39.3,29.7,66.8,6.53
A20906_4241,52.265,10.6025,5.0,40.6,22.6,36.8,30.9,73.8,6.66
A20963_4317,52.4075,10.7925,5.0,50.9,14.9,34.2,29.1,78.6,7.12
A20906_4222,52.265,10.555,5.6,37.5,26.5,36.1,28.2,90.3,7.04
A21093_4247,52.7325,10.6175,5.5,62.7,13.0,24.4,27.2,71.9,6.51
A20993_4203,52.4825,10.5075,5.0,64.2,12.6,23.2,28.2,67.7,5.11
A20915_4193,52.2875,10.4825,6.1,44.7,21.1,34.2,32.2,63.4,5.17
A20922_4227,52.305,10.5675,5.0,39.5,28.0,32.5,30.9,71.5,6.82
A20900_4177,52.25,10.4425,5.8,36.7,24.8,38.5,31.2,68.5,6.32
A20971_4044,52.4275,10.11,5.1,43.8,22.6,33.6,26.3,66.6,5.93
A20916_4334,52.29,10.835,5.2,48.2,20.9,30.9,30.3,64.7,7.82
A20974_4061,52.435,10.1525,4.9,57.7,20.7,21.6,25.4,81.8,5.84
A20917_4201,52.2925,10.5025,5.2,41.5,29.5,29.0,32.2,73.4,6.47
A20963_4321,52.4075,10.8025,4.9,52.8,17.2,30.0,30.1,75.5,7.77
A20930_4167,52.325,10.4175,5.7,53.3,17.4,29.4,30.7,56.7,5.7
A20843_4124,52.1075,10.31,5.3,17.2,34.9,47.9,27.3,81.4,5.86
A20850_4112,52.125,10.28,5.2,18.4,26.0,55.6,27.9,81.4,5.97
A20954_4101,52.385,10.2525,6.4,58.6,13.9,27.5,25.9,59.4,5.8
A20940_4159,52.35,10.3975,6.1,50.4,20.7,28.9,31.1,63.0,5.8
A20903_4419,52.2575,11.0475,4.9,28.8,19.7,51.5,32.7,72.4,6.43
A20891_4225,52.2275,10.5625,5.3,39.2,24.6,36.1,31.3,81.1,7.24
A20948_4096,52.37,10.24,5.4,55.3,15.0,29.6,28.2,68.7,7.02
A20873_4217,52.1825,10.5425,5.2,33.6,27.8,38.6,30.1,69.8,7.99
A20873_4212,52.1825,10.53,5.5,38.8,24.1,37.0,31.5,68.8,6.59
A20900_4406,52.25,11.015,4.9,27.3,19.3,53.3,31.5,84.0,5.76
A21001_4079,52.5025,10.1975,6.0,74.1,10.6,15.3,26.1,63.8,5.63
A20923_4224,52.3075,10.56,5.0,42.6,26.1,31.3,31.5,82.7,6.57
A20930_4229,52.325,10.5725,5.0,40.3,26.1,33.6,30.1,90.9,5.95
A20916_4201,52.29,10.5025,5.4,42.8,27.9,29.3,30.2,71.4,6.66
A20985_4208,52.4625,10.52,4.9,61.1,15.1,23.7,26.5,69.9,5.81
A20873_4216,52.1825,10.54,5.3,40.3,26.1,33.6,31.2,74.6,7.95
A20962_4344,52.405,10.86,5.8,52.2,18.5,29.3,31.0,56.8,6.81
A20930_4178,52.325,10.445,6.0,54.2,20.5,25.3,29.1,67.7,7.5
A20932_4168,52.33,10.42,5.8,48.3,24.1,27.6,32.0,69.7,6.3
A20993_4074,52.4825,10.185,5.4,57.1,20.8,22.1,24.5,78.1,5.98
A20948_4042,52.37,10.105,5.5,51.6,21.0,27.4,26.4,66.7,5.63
A20872_4218,52.18,10.545,5.2,31.0,28.8,40.2,30.9,73.5,7.53
A20920_4334,52.3,10.835,5.1,49.5,20.0,30.5,30.2,66.3,8.73
A20963_4345,52.4075,10.8625,4.9,48.2,17.2,34.6,31.0,78.7,7.51
